Source,Target
2325,2844
437,427
5684,5726
10015,8959
4687,3224
9274,9341
3331,1916
6156,5099
10111,8356
7069,2249
85,87
4039,4037
2008,1719
1500,1343
1254,922
8517,7370
8115,7861
5037,1304
3917,3922
5291,4501
814,321
6245,3701
4509,4511
5063,5080
1122,65
6030,6145
5175,1690
11370,7875
13664,13666
1579,1581
14328,13438
4888,4892
8693,8695
9652,8990
4751,65
13456,13276
5326,5348
3123,3003
4250,4254
13766,12197
4175,4187
7001,6725
3742,3743
687,1988
3789,3808
1642,254
10788,4581
5942,5748
9545,9557
8099,3572
1454,1461
5987,4816
13988,13993
892,254
10685,10687
685,1148
14265,12236
6473,6494
5222,1297
9178,9190
10015,8519
12125,11568
5736,5737
10102,4892
10111,5691
7878,7915
7157,6369
7775,5562
6153,362
14294,12027
4134,4155
685,1970
3728,483
3124,3319
10341,4461
7191,6211
2923,1345
5029,65
3499,888
7554,7573
16128,15218
11050,10709
6030,6080
139,35
234,239
8338,8339
6030,6062
6753,1546
3124,3257
14319,13773
8320,8335
5161,5021
4340,4205
1718,1720
10502,4904
14550,11896
2123,26
3724,659
9274,9282
3109,65
2164,438
1070,855
687,1421
2074,2056
6526,3918
15660,7828
14244,12712
6156,6034
3828,3839
15282,13926
10311,4111
10436,9569
424,172
6030,4851
9742,7815
2709,2589
6498,2848
13872,7533
12098,12100
10066,5111
805,811
4888,4901
685,261
5458,262
3123,3285
9397,4264
8621,7313
4036,4055
3139,1953
14439,11343
13875,6054
1957,1958
1315,65
3082,1580
1961,1751
7790,7776
3247,3459
954,876
14739,10223
12882,12522
266,267
8917,8305
9244,8387
1748,65
7446,7464
2223,2057
12726,12611
9076,9082
3677,65
1454,1231
12493,12509
1780,749
9884,7250
298,301
11524,11534
3126,4306
1843,1546
3599,65
4558,4573
5287,6836
7330,262
3782,65
1965,2183
359,362
6606,6633
8198,8201
8966,8969
13915,13172
625,626
7222,7161
1013,1019
13690,12887
11155,2823
8728,7983
4558,65
2164,659
5612,3792
7268,7329
4727,4740
3789,65
13997,12153
7971,6881
685,1426
5300,1770
9192,9018
756,757
601,556
29,43
13433,13366
5978,3698
4617,65
5116,5131
14615,13972
1555,591
9983,8941
9861,9915
13520,13037
685,1110
9414,9018
85,86
11687,8219
6880,6884
7754,7755
11679,4002
7346,6818
4509,3171
2322,1690
13633,10686
9579,8691
2608,2468
10804,4988
13900,12712
4778,4099
2238,1708
8292,8295
2263,2283
6245,6253
3106,3622
1579,1580
5458,5015
15316,15319
4888,4893
8693,8694
6156,13607
5616,5634
1139,686
378,254
11560,10574
6030,6099
12850,12100
4223,65
4854,4885
474,477
8871,7932
10454,10493
877,698
4854,3641
10408,4401
8115,65
8669,7071
2140,2057
1495,471
12873,12522
13544,9448
2368,1704
10341,6211
10341,4415
10685,10686
4778,4624
12976,11575
2248,2249
8402,8432
6156,5151
9020,5709
15561,15110
7822,7835
9476,8068
9464,8441
14444,6252
8808,65
4389,4013
5326,4762
8215,8315
50,55
3022,261
2923,1344
892,897
2718,2553
519,520
405,408
771,779
4034,4054
11637,11653
6844,5709
9515,9523
10389,10054
8138,7279
3263,1805
6030,6063
1903,1915
5761,5773
3109,1175
1869,757
6570,6573
10668,9687
925,879
3125,3180
8187,4425
6863,3808
9545,4618
2212,1950
5865,2183
12045,9687
5194,1848
9133,9039
7157,3224
7224,1326
7191,5605
6929,6885
874,888
8761,8788
1963,1964
925,541
10971,10607
2313,2057
12168,12175
1315,1318
3082,2054
13630,11991
5517,5525
11863,9681
4888,4902
9071,8850
584,586
8198,3640
3320,3198
1876,65
352,172
11295,2924
1876,1764
5920,3336
13534,5912
11463,4137
10408,9773
10341,8427
8425,7999
2788,2420
413,423
696,701
9476,9064
516,523
4477,4478
7446,7465
1819,1820
7069,4753
12920,10689
2155,2156
9178,7789
4102,4131
4040,4035
10051,8441
1454,1855
14132,12132
5300,1827
4046,4679
14439,13781
13826,13459
4807,4815
10235,6101
11718,11722
2008,1817
1724,749
4040,4678
5920,2054
3323,3322
9747,7785
14671,5815
1337,1338
898,314
13332,10357
3106,2664
14322,10686
745,65
584,65
7346,5585
2244,899
3579,1175
7019,6924
756,758
8338,6801
11155,5473
3125,3285
470,294
9133,5695
14671,14517
3601,65
12212,11915
6880,6885
4041,4035
3917,3931
13066,10120
7520,7533
3917,3920
12622,12627
771,338
4045,4679
5326,4523
4396,4412
9703,9704
8187,3808
6865,65
11660,11088
2591,2563
15997,16005
9985,8245
3663,1947
6570,4094
533,534
6245,6252
8099,1295
2210,1709
2123,1720
1806,842
16117,15873
4704,4705
5326,5354
7346,5864
8138,5232
3869,61
3126,3286
77,79
1702,1027
67,73
4956,4957
5942,65
8003,65
6570,6267
2852,2593
5014,5015
9133,9177
9579,1762
8529,8247
6552,5080
13941,13946
6320,6323
11775,11787
10655,10598
6327,3920
683,684
4191,4192
4057,4067
11698,7533
7330,732
3724,301
1013,382
5458,732
2582,2589
6400,5348
10024,4121
13879,12197
2675,2416
4142,4154
14238,12153
4687,65
4228,749
1548,587
1139,23
7554,7571
3126,3257
6978,6962
10744,10758
10311,10244
6659,6610
13528,12499
1465,2513
13778,12153
3976,3692
2390,2513
385,2513
5116,5127
12839,12840
10496,4267
330,331
4956,65
14088,11896
13533,12887
12229,10922
755,321
1337,83
12442,9046
1825,1827
4509,2034
9747,4431
9884,5690
8005,4035
6473,2944
7754,7729
8935,8952
9489,8884
8761,8795
3420,3425
10297,6805
7878,7893
10123,10193
689,614
11474,10777
2164,1406
14814,13148
5132,5099
4888,4903
5049,5021
3760,65
1360,1327
15222,15233
10459,10467
6030,6085
10714,10719
6327,6645
5009,4364
1726,1734
6784,6080
2325,855
11775,6924
685,1452
4041,4489
687,1135
12595,11977
2212,1756
8494,4137
6704,65
14444,14509
1360,387
2155,2159
6712,5676
4652,1273
7430,4928
3061,676
4057,4059
9414,8763
2033,2034
3663,1820
5458,5485
5577,3809
9133,6302
12680,12687
13507,12236
874,273
139,143
6953,5880
15362,15364
1418,1419
11285,6779
1555,1562
4043,4055
11643,11653
5018,5008
10519,9681
1702,1709
3248,3254
4854,4879
9742,9789
13618,11520
3249,3252
7874,7875
8099,2332
11922,11935
4271,3756
540,548
4027,1326
14007,13598
5132,4139
8268,8283
2308,2268
10098,7506
307,119
5651,65
4499,4501
14132,12153
7520,7534
9703,9707
5326,4796
3843,842
13371,6252
11687,6864
7346,4137
5063,5077
2164,1462
6245,6251
3782,732
8931,65
13602,13610
5194,5199
3124,3633
3123,4243
5549,5543
6679,6685
5035,5054
10279,8643
1653,72
564,566
12397,12407
474,475
67,72
2230,772
